RESNT,RESNE,RESSE,RESST,RESMW,INDNT,INDNE,INDSE,INDST,INDMW,COMNT,COMNE,COMSE,COMST,COMMW,OTHNT,OTHNE,OTHSE,OTHST,OTHMW
524135,1827785,5138107,1584090.55,726118,1227090,2381665,8004138,2277436.83,676695,317278.69,973416,3512097,1165205.63,498280,300401.4,1114962,2261076,1326544.19,468646
503434,1704591,5111298,1658097.77,727504,1207458,2317090,8292046,2555499.8,687299,318568.28,936435,3587243,1246471.47,519423,292311.26,1052320,2349341,1352713.44,481387
503494,1838823,5470926,1706808.42,750552,1289056,2470223,8440739,2654943.26,723797,337721.06,989802,3863736,1307533.47,538035,309387.37,1108905,2455441,1356831.14,506357
532486,1779375,5308429,1533564.47,774281,1195259,2405568,8642446,2607044.67,679791,327528.77,971116,3812378,1194041.53,550976,306631.01,1115494,2532433,1200330.64,526696
552161,1811928,4954256,1461139.14,752535,1223341,2455473,8371133,2480566.98,733688,342348.62,990934,3479759,1075804.65,527687,312309.53,1178040,2439390,1124236.11,543461
566437,1775115,5033564,1490069.5,739704,1154501,2274534,8448415,2588740.94,692637,345116.19,956091,3433501,1035926.52,511065,316219.64,1129551,2427593,1065384.32,544228
551450,1698329,4828556,1503946.07,692016,1185483,2404130,8322721,2605383.01,696205,337284.1,911282,3262130,1022001.59,500685,323430.81,1098067,2348784,1057573.62,567690
592424,1740365,4979107,1557201.85,752539,1198167,2480087,8540168,2689542.52,719883,363540.57,949890,3403874,1077418.37,508434,336389.14,1153222,2469982,1067318.08,600050
604096,1723840,5108683,1510699.22,801211,1153441,2451344,8614670,2626978.45,726628,359159.67,937373,3562736,1099316.65,543301,338995.5,1175686,2618253,1103234.63,602050
608315,1797350,5068966,1489158.07,824192,1191284,2430348,8569742,2595793.69,760576,367209.91,977689,3608276,1073768.49,564561,338973.49,1222310,2590991,1093097.42,623413
628098,1822908,5369591,1566444.17,852344,1126450,2428398,8573104,2648674.08,693483,369796.48,998921,3916528,1182225.55,583870,359717.19,1170881,2626358,1146547.76,579245
597632,1874692,5223040,1628533.3,809315,1123279,2403412,7967830,2585629.01,753691,357563.27,1027733,3869697,1260976.1,563596,331898.76,1172909,2445609,1250141,517908
577517,2002181,5757901,1758505,828781,1144503,2421483,7819121,2300699,683716,347061,1041841,3997152,1260627,555787,323371.74,1194223,2515712,1297272,539356
560166,1980331,5425917,1711710,796405,1060110,2274556,8154579,2606710,694360,333251,1038983,3839762,1268508,554904,312678.72,1158624,2355226,1365807,513064
543558,2000446,5373723,1631377,807892,1182951,2435956,8164832,2647015,717277,335947,1069844,3901778,1268178,570834,315735.55,1199698,2466885,1287383,520882
591995,2083364,5329736,1513471,783019,1177230,2457017,8463316,2712615,782062,357678,1094925,3844698,1178874,574613,334201.43,1217246,2459698,1167163,530742
595852,1995023,5269471,1565432,816136,1151217,2442460,8454482,2744237,776968,360796,1056280,3701361,1160503,553971,346298.57,1166464,2486507,1143500,557903
616782,1897430,5185998,1594070,797911,1116462,2362673,8359244,2733601,754078,369874,998773,3589719,1088309,547999,346415.01,1125654,2517694,1082386,542626
623393,1927736,5063741,1634801,772664,1205501,2479206,8292903,2729981,782894,368353,989871,3474863,1080262,540289,365273.03,1138106,2500002,1099110,628996
629182,1918626,5200951,1715613,816125,1200793,2462536,8561514,2831514,829957,378295,1014840,3513265,1139007,556073,351126.26,1184760,2562357,1111084,635658
640168,1956622,5196437,1644068,813870,1183453,2351602,8498742,2746171,813739,380901,1030792,3688878,1108043,551707,366665.16,1197704,2643278,1074679,637205
687065,2054166,5313978,1620013,870074,1253335,2398416,8542498,2788473,803974,403748,1100343,3855692,1129613,581839,376438.38,1279627,2613395,1116775,599542
675367,2072616,5420982,1628086,913837,1212737,2307338,8669644,2814731,805936,394478,1106281,4049906,1219401,612093,359023.54,1273466,2625441,1187308,571618
683978,2075421,5407419,1653801,885062,1288230,2330512,8256004,2678820,767873,400897,1115960,4171501,1279086,604773,365630.24,1211867,2546900,1274279,558365
651827,2222412,5991046,2012159,920875,1246234,2323979,7830818,2422689,713066,364824,1120445,4297545,1371375,590863,338087,1219592,2584931,1526864,530128
640104,2115977,6082595,2166045,874137,1152125,2195186,8268487,2759996,731557,356026,1116123,4571717,1552666,607802,328718,1193613,2840214,1540887,559512
665706,2152217,5783428,1810905,876245,1245479,2363825,8000471,2709287,760217,366477,1123509,4297438,1354454,602341,335005,1218001,2701263,1407278,495883
649978,2127397,5477028,1657560,868377,1229091,2255959,8229108,2768306,777727,372337,1130430,4172930,1304682,607386,349921,1169863,2572509,1276932,594333
705888,2164510,5455670,1663029,888051,1258279,2200859,8002092,2693261,788237,387384,1110861,4004548,1210462,590316,355776,1207189,2605884,1228178,580025
693230,2035296,5106123,1660066,827154,1196030,2103024.88,7922678,2675047,786638,389131,1076772,3705710,1129243,561269,365006,1163065,2558616,1162859,609515
813791,2072771,5294663,1690827,784886,1253372,2234428,7587191,2677890,800810,387745,1061101,3668148,1120099,535480,366971,1186374,2561348,1151144,617770
634342,2027166,5191948,1722603,864433,1253295,2303223,7958162,2781366,838309,406366,1085434,3724566,1190076,583005,363949,1236897,2563630,1178729,643195
755837,2060440,5194803,1650393,914142,1265909,2272311,7828535,2786801,821318,427993,1116911,3836984,1185527,618628,387153,1271733,2668685,1164694,666179
756891,2154008,5560649,1662746,1006315,1256398,2281391,7822355,2789768,779435,420243,1167133,4140729,1228703,658484,392344,1326958.59,2781223,1241487,673180
745283,2172997,5714131,1780429,969551,1230244,2251591,8197214,2823739,752973,412618,1199429,4335580,1363207,663288,374111,1295600.39,2721185,1297461,650095
761455,2190944,5508771,1801652,897948,1243764,2204816,7797703,2680875,720739,431540,1200076,4224267,1391738,608295,379374,1263366.03,2567847,1392320,570817
726570.36,2302666,6476567,2062995.71,989503,1236241.36,2133514.26,7344251.25,2364735.4,677273.79,382900.84,1185404,4476630,1423852.02,607356,374945.33,1283873.02,2645815,1479155.19,583718
677514,2240786,5957795,1967877,936289,1144326,2031019.05,7831951.87,2730946.3,706405.38,376873,1179050,4446794,1468664,618484,366740,1238426.76,2633286,1497782,668257
680311,2213527,5573471,1802427,828374,1249395,2212021.67,7736995.41,2637162,754616.95,391184,1197847,4320106,1394635,604008,388460,1218336.36,2519481,1444630,591976
675513,2232375,5415655,1724335,841785,1198513,2034218.83,7917888.02,2758168.6,730230.84,380982,1192788,4326175,1378983,627793,391870,1211871.01,2555420,1374565,627541
679533,2218162,5176493,1588736,878861,1255339,2016991.94,7666694.63,2648654.3,742489.46,385433,1196284,3979116,1203345,599558,398107,1222318.01,2474148,1242875,629224
695205,2120820,4852845,1593710,850268,1216684,1969210.87,7623855.64,2637245,728993.73,389646,1135185,3802300,1174355,571174,391503,1210499.59,2473590,1162576,664000
746477,2025226,4913722,1605688,819639,1269982,1929690.92,7453325.47,2559948,740471.37,416243,1083527,3661598,1116501,560693,400938,1177045.53,2504276,1164403,667049
763948,2000513,5080894,1621249,846311,1284346.49,1992131.39,7615559.17,2648851.5,745062.64,420605,1117185,3772081,1180559,586995,423078,1224052.92,2616460,1197884,720919
820516,2086557,5030736,1557532,941162,1268086,1863705.34,7514243.01,2592008.35,763874.55,446105,1149289,3780478,1161470,623827,429737,1285911.35,2593951,1182999,749462
884653,2162718,5465728,1611874,1008380,1280572,1939351.35,7532545.94,2558755.84,805939.05,460262,1182344,4136559,1197395,654211,424525,1350182.39,2679713,1193314,747643
872136,2193135,5457842,1612892,995736,1230461,1885783.4,7404271.1,2595098.54,757946.88,447321,1210805,4262362,1211843,658369,408190,1364982.45,2712357,1216862,726462
851295,2317043,5383171,1603341,928685,1251870,1830673.72,7100173.94,2490414.22,721602.89,445125,1267860,4258472,1247150,633402,414344,1377047.59,2617565,1263886,666839
759843,2295490,5864497,1951618,958648,1215996,1808016.07,6678699.68,2213223.33,704567.99,392658,1191688,4227956,1352653,595818,366220,1239379.03,2542848,1460897,580185
740736,2191346,5615379,1888454,916030,1198858.6,1789841,7198404.04,2568402.52,740348.5,389776,1158481,4167271,1394509,604299,379428,1138168.91,2514006,1555612,577986
751194,2315129,5532807,1782753,934360,1304121,1937272.65,7306777.62,2626701.59,753411.53,405899,1249510,4155268,1357823,629526,402504,1290296.85,2616501,1492710,600349
747941,2307869,5907371,1817400,1001892,1196602,1802337.94,7507463.2,2704555.48,765269.68,392009,1217130,4398022,1383419,655886,390719,1281541.78,2707369,1420792,663831
754695,2255249,5330941,1706584,884863,1277905,1962335.83,7338229.16,2610477.78,751502.71,415427,1196339,3960712,1215606,590955,414420,1307594.1,2673245,1326819,674773
